SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabeln
0.00E+00,0.00E+00,2.10E+01,5.70E+01,6.90E+01,1.06E+06,5.46E+05,5.86E+04,1.01E+04,1.12E+04,7.78E+04,1.11E+05,1.70E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.30E+01,5.40E+01,8.70E+01,1.85E+06,2.57E+05,8.05E+04,7.33E+04,6.51E+04,8.11E+04,3.79E+04,1.90E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.40E+01,5.10E+01,8.00E+00,1.07E+06,1.29E+05,5.40E+04,4.36E+03,9.19E+03,3.13E+04,1.58E+04,2.88E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.40E+01,5.70E+01,1.80E+01,1.14E+06,7.52E+04,5.82E+04,4.17E+03,2.83E+04,1.35E+04,2.31E+04,5.62E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.50E+01,6.90E+01,8.10E+01,1.49E+05,1.50E+04,6.72E+03,1.39E+03,3.81E+03,3.30E+03,6.73E+03,2.24E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.10E+01,6.10E+01,1.80E+01,1.78E+05,8.05E+04,1.03E+04,8.98E+03,6.49E+03,3.97E+04,6.19E+03,8.71E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.40E+01,5.10E+01,1.68E+02,6.59E+05,5.45E+04,8.76E+03,2.23E+03,1.13E+04,1.89E+04,1.54E+04,4.32E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.00E+01,3.80E+01,4.00E+00,6.49E+05,8.73E+04,3.16E+03,1.03E+04,6.73E+03,1.62E+04,1.85E+04,5.52E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.80E+01,3.00E+01,4.00E+01,1.99E+05,8.83E+04,1.19E+04,7.75E+03,5.62E+03,1.14E+04,2.81E+04,8.64E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.70E+01,3.50E+01,1.25E+02,4.82E+05,2.04E+05,2.52E+04,3.63E+04,4.92E+04,8.76E+04,8.47E+04,2.29E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.00E+01,4.30E+01,1.48E+02,1.26E+06,8.34E+05,9.55E+04,6.19E+04,3.37E+04,4.64E+04,1.67E+05,1.66E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.10E+01,2.40E+01,-1.01E+02,7.44E+05,3.37E+05,5.14E+03,7.30E+03,2.37E+04,4.26E+04,4.57E+04,1.49E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.30E+01,1.70E+01,-7.10E+01,1.04E+06,2.00E+05,3.74E+02,2.42E+04,2.32E+04,2.60E+04,1.71E+04,1.13E+04,0.00E+00,0.00E+00
